1,0,0
1,1,0.01
1,2,0.02
1,3,0.03
1,4,0.05
1,5,0.09
1,6,0.17
1,7,0.33
1,8,0.65
1,9,1.29
1,10,2.29
1,11,3.29
1,12,4.29
1,13,5.29
1,14,6.29
1,15,7.29
1,16,8.29
1,17,9.29
1,18,10.29
1,19,11.29
1,20,12.29
1,21,13.29
1,22,14.29
1,23,15.29
1,24,16.29
1,25,17.29
1,26,18.29
1,27,19.29
1,28,20
2,1,20.1
2,2,20.2
2,3,20.3
2,4,20.45
2,5,20.675
2,6,21.0125
2,7,21.5187
2,8,22.2781
2,9,23.4172
2,10,25.1258
2,11,26.8344
2,12,28.543
2,13,30.543
2,14,32.543
2,15,34.543
2,16,36.543
2,17,38.543
2,18,40.543
2,19,42.543
2,20,44.543
2,21,46.543
2,22,48.543
2,23,50.543
2,24,52.543
2,25,54.543
2,26,56.543
2,27,58.543
2,28,60.543
2,29,62.543
2,30,64.543
2,31,66.543
2,32,68.543
2,33,70
3,1,70.01
3,2,70.02
3,3,70.03
3,4,70.05
3,5,70.09
3,6,70.17
3,7,70.33
3,8,70.65
3,9,71
4,1,71.01
4,2,71.02
4,3,71.03
4,4,71.05
4,5,71.09
4,6,71.17
4,7,71.27
4,8,71.37
4,9,71.47
4,10,71.57
4,11,71.67
4,12,71.77
4,13,71.87
4,14,71.97
4,15,72.07
4,16,72.17
4,17,72.27
4,18,72.37
4,19,72.47
4,20,72.57
4,21,72.67
4,22,72.77
4,23,72.87
4,24,72.97
4,25,73.07
4,26,73.17
4,27,73.27
4,28,73.37
4,29,73.47
4,30,73.57
4,31,73.67
4,32,73.77
4,33,73.87
4,34,73.97
4,35,74.07
4,36,74.17
4,37,74.27
4,38,74.37
4,39,74.47
4,40,74.57
4,41,74.67
4,42,74.77
4,43,74.87
4,44,74.97
4,45,75.07
4,46,75.17
4,47,75.27
4,48,75.37
4,49,75.47
4,50,75.57
4,51,75.67
4,52,75.77
4,53,75.87
4,54,75.97
4,55,76.07
4,56,76.17
4,57,76.27
4,58,76.37
4,59,76.47
4,60,76.57
4,61,76.67
4,62,76.77
4,63,76.87
4,64,76.97
4,65,77.07
4,66,77.17
4,67,77.27
4,68,77.37
4,69,77.47
4,70,77.57
4,71,77.67
4,72,77.77
4,73,77.87
4,74,77.97
4,75,78.07
4,76,78.17
4,77,78.27
4,78,78.37
4,79,78.47
4,80,78.57
4,81,78.67
4,82,78.77
4,83,78.87
4,84,78.97
4,85,79.07
4,86,79.17
4,87,79.27
4,88,79.37
4,89,79.47
4,90,79.57
4,91,79.67
4,92,79.77
4,93,79.87
4,94,79.97
4,95,80.07
4,96,80.17
4,97,80.27
4,98,80.37
4,99,80.47
4,100,80.57
4,101,80.67
4,102,80.77
4,103,80.87
4,104,80.97
4,105,81.07
4,106,81.17
4,107,81.27
4,108,81.37
4,109,81.47
4,110,81.57
4,111,81.67
4,112,81.77
4,113,81.87
4,114,81.97
4,115,82.07
4,116,82.17
4,117,82.27
4,118,82.37
4,119,82.47
4,120,82.57
4,121,82.67
4,122,82.77
4,123,82.87
4,124,82.97
4,125,83.07
4,126,83.17
4,127,83.27
4,128,83.37
4,129,83.47
4,130,83.57
4,131,83.67
4,132,83.77
4,133,83.87
4,134,83.97
4,135,84.07
4,136,84.17
4,137,84.27
4,138,84.37
4,139,84.47
4,140,84.57
4,141,84.67
4,142,84.77
4,143,84.87
4,144,84.97
4,145,85.07
4,146,85.17
4,147,85.27
4,148,85.37
4,149,85.47
4,150,85.57
4,151,85.67
4,152,85.77
4,153,85.87
4,154,85.97
4,155,86.07
4,156,86.17
4,157,86.27
4,158,86.37
4,159,86.47
4,160,86.57
4,161,86.67
4,162,86.77
4,163,86.87
4,164,86.97
4,165,87.07
4,166,87.17
4,167,87.27
4,168,87.37
4,169,87.47
4,170,87.57
4,171,87.67
4,172,87.77
4,173,87.87
4,174,87.97
4,175,88.07
4,176,88.17
4,177,88.27
4,178,88.37
4,179,88.47
4,180,88.57
4,181,88.67
4,182,88.77
4,183,88.87
4,184,88.97
4,185,89.07
4,186,89.17
4,187,89.27
4,188,89.37
4,189,89.47
4,190,89.57
4,191,89.67
4,192,89.77
4,193,89.87
4,194,89.97
4,195,90.07
4,196,90.17
4,197,90.27
4,198,90.37
4,199,90.47
4,200,90.57
4,201,90.67
4,202,90.77
4,203,90.87
4,204,90.97
4,205,91.07
4,206,91.17
4,207,91.27
4,208,91.37
4,209,91.47
4,210,91.57
4,211,91.67
4,212,91.77
4,213,91.87
4,214,91.97
4,215,92.07
4,216,92.17
4,217,92.27
4,218,92.37
4,219,92.47
4,220,92.57
4,221,92.67
4,222,92.77
4,223,92.87
4,224,92.97
4,225,93.07
4,226,93.17
4,227,93.27
4,228,93.37
4,229,93.47
4,230,93.57
4,231,93.67
4,232,93.77
4,233,93.87
4,234,93.97
4,235,94.07
4,236,94.17
4,237,94.27
4,238,94.37
4,239,94.47
4,240,94.57
4,241,94.67
4,242,94.77
4,243,94.87
4,244,94.97
4,245,95.07
4,246,95.17
4,247,95.27
4,248,95.37
4,249,95.47
4,250,95.57
4,251,95.67
4,252,95.77
4,253,95.87
4,254,95.97
4,255,96.07
4,256,96.17
4,257,96.27
4,258,96.37
4,259,96.47
4,260,96.57
4,261,96.67
4,262,96.77
4,263,96.87
4,264,96.97
4,265,97.07
4,266,97.17
4,267,97.27
4,268,97.37
4,269,97.47
4,270,97.57
4,271,97.67
4,272,97.77
4,273,97.87
4,274,97.97
4,275,98.07
4,276,98.17
4,277,98.27
4,278,98.37
4,279,98.47
4,280,98.57
4,281,98.67
4,282,98.77
4,283,98.87
4,284,98.97
4,285,99.07
4,286,99.17
4,287,99.27
4,288,99.37
4,289,99.47
4,290,99.57
4,291,99.67
4,292,99.77
4,293,99.87
4,294,99.97
4,295,100.07
4,296,100.17
4,297,100.27
4,298,100.37
4,299,100.47
4,300,100.57
4,301,100.67
4,302,100.77
4,303,100.87
4,304,100.97
4,305,101.07
4,306,101.17
4,307,101.27
4,308,101.37
4,309,101.47
4,310,101.57
4,311,101.67
4,312,101.77
4,313,101.87
4,314,101.97
4,315,102.07
4,316,102.17
4,317,102.27
4,318,102.37
4,319,102.47
4,320,102.57
4,321,102.67
4,322,102.77
4,323,102.87
4,324,102.97
4,325,103.07
4,326,103.17
4,327,103.27
4,328,103.37
4,329,103.47
4,330,103.57
4,331,103.67
4,332,103.77
4,333,103.87
4,334,103.97
4,335,104.07
4,336,104.17
4,337,104.27
4,338,104.37
4,339,104.47
4,340,104.57
4,341,104.67
4,342,104.77
4,343,104.87
4,344,104.97
4,345,105.07
4,346,105.17
4,347,105.27
4,348,105.37
4,349,105.47
4,350,105.57
4,351,105.67
4,352,105.77
4,353,105.87
4,354,105.97
4,355,106.07
4,356,106.17
4,357,106.27
4,358,106.37
4,359,106.47
4,360,106.57
4,361,106.67
4,362,106.77
4,363,106.87
4,364,106.97
4,365,107.07
4,366,107.17
4,367,107.27
4,368,107.37
4,369,107.47
4,370,107.57
4,371,107.67
4,372,107.77
4,373,107.87
4,374,107.97
4,375,108.07
4,376,108.17
4,377,108.27
4,378,108.37
4,379,108.47
4,380,108.57
4,381,108.67
4,382,108.77
4,383,108.87
4,384,108.97
4,385,109.07
4,386,109.17
4,387,109.27
4,388,109.37
4,389,109.47
4,390,109.57
4,391,109.67
4,392,109.77
4,393,109.87
4,394,109.97
4,395,110.07
4,396,110.17
4,397,110.27
4,398,110.37
4,399,110.47
4,400,110.57
4,401,110.67
4,402,110.77
4,403,110.87
4,404,110.97
4,405,111.07
4,406,111.17
4,407,111.27
4,408,111.37
4,409,111.47
4,410,111.57
4,411,111.67
4,412,111.77
4,413,111.87
4,414,111.97
4,415,112.07
4,416,112.17
4,417,112.27
4,418,112.37
